RESPUESTAS
EXAMEN

Curso de Ingreso examen ECOEMS 2026

No 9

Examen No9

1 A
2 D
3 B
4 D
5 B
6 A
7 A
8 B
9 B
10 B
11 A
12 D
13 C
14 B
15 B
16 C
17 A
18 B
19 A
20 B
21 A
22 A
23 A
24 A
25 A
26 D
27 A
28 B
29 D
30 B
31 B
32 A

33 C
34 C
35 C
36 B
37 A
38 C
39 B
40 C
41 C
42 C
43 B
44 B
45 A
46 B
47 C
48 B
49 C
50 C
51 A
52 C
53 C
54 D
55 C
56 B
57 B
58 D
59 B
60 B
61 D
62 D
63 A
64 B

65 A
66 C
67 B
68 C
69 C
70 D
71 B
72 C
73 D
74 A
75 C
76 D
77 C
78 D
79 C
80 A
81 C
82 C
83 B
84 C
85 A
86 B
87 B
88 D
89 D
90 C
91 B
92 A
93 C
94 A
95 D
96 B

97 B
98 C
99 D
100 B
101 D
102 C
103 C
104 C
105 B
106 D
107 B
108 B
109 B
110 A
111 A
112 D
113 C
114 A
115 D
116 A
117 A
118 D
119 A
120 A
121 C
122 B
123 A
124 D
125 C
126 B
127 A
128 B


